,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,5,5,1,0,1,0,53,141,35.25,70.15,1,0
1,2000,8,6,1,0,0,0,34,86,17.2,72.27,4,0
2,2001,1,1,1,0,0,0,3*,3,,150.0,1,0
3,2002,3,2,0,0,1,0,50,52,26.0,69.33,2,0
4,2003,7,6,2,0,0,1,46,111,27.75,58.73,3,0
5,2004,28,23,8,0,0,0,48,471,31.4,75.12,18,1
6,2005,16,15,1,0,3,2,81*,327,23.36,76.94,7,0
7,2006,36,29,5,1,2,0,117*,757,31.54,88.75,15,0
8,2007,27,24,5,0,3,0,70,632,33.26,83.16,8,0
9,2008,21,18,2,0,4,0,64,414,25.88,86.25,8,0
10,2009,19,19,1,4,2,1,160,1000,55.56,103.2,8,0
11,2010,20,20,2,3,4,1,110,921,51.17,98.93,6,0
12,2011,28,27,1,2,4,1,144,820,31.54,86.04,8,0
13,2012,31,30,3,4,3,3,160*,1119,41.44,84.64,7,0
14,2013,25,25,6,3,7,0,125,1160,61.05,81.06,8,0
15,2014,25,25,1,1,7,0,101,990,41.25,85.34,5,0
16,2015,25,24,1,4,6,2,161*,1207,52.48,90.75,9,0
17,2016,5,4,0,0,0,0,42,79,19.75,73.83,5,0
18,Overall (18),330,303,41,22,47,11,161*,10290,39.27,86.22,123,1
