,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,11,5,1,0,0,2,19*,31,7.75,93.94,1,0
1,2009,13,7,2,0,0,0,32,70,14.0,120.69,1,0
2,2010,14,11,4,0,0,3,13,34,4.86,55.74,5,0
3,2011,13,4,1,0,0,1,13*,27,9.0,71.05,1,0
4,2012,13,9,5,0,0,0,28,77,19.25,98.72,3,0
5,2013,8,6,2,0,0,2,15,35,8.75,79.55,1,0
6,2014,8,4,1,0,0,0,27,44,14.67,115.79,7,0
7,2015,19,8,3,0,0,1,18*,66,13.2,146.67,4,0
8,2016,10,9,2,0,1,2,55,93,13.29,94.9,2,0
9,2017,14,10,5,0,0,1,25*,86,17.2,122.86,5,0
10,2018,12,9,3,0,0,0,20,96,16.0,103.23,7,0
11,2019,4,2,2,0,0,0,9*,10,,71.43,2,0
12,Overall (12),139,84,31,0,1,12,55,669,12.62,99.85,39,0
