,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,15,1,0,0,0,0,2,2,2.0,11.11,1,0
1,2006,10,3,1,0,0,0,17*,32,16.0,60.38,1,0
2,2007,14,8,4,0,0,1,10,23,5.75,74.19,3,0
3,2008,12,5,2,0,0,0,13,29,9.67,90.63,1,0
4,2009,16,12,1,0,0,4,33,108,9.82,61.71,2,0
5,2010,8,8,2,0,0,1,18,50,8.33,56.18,1,0
6,2011,23,9,3,0,0,2,34*,47,7.83,77.05,3,0
7,2012,14,9,3,0,0,1,39,93,15.5,104.49,2,0
8,2013,7,4,0,0,0,0,17,38,9.5,64.41,1,0
9,2014,6,4,1,0,0,0,15,29,9.67,96.67,0,0
10,2015,1,1,0,0,0,1,0,0,0.0,,0,0
11,2016,4,1,1,0,0,0,6*,6,,,2,0
12,Overall (12),130,65,18,0,0,10,39,457,9.72,71.18,17,0
