,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1994,5,3,0,0,0,0,26,46,15.33,40.71,3,0
1,1996,9,6,1,0,0,1,14*,50,10.0,53.19,7,0
2,1997,10,7,2,0,0,1,16,29,5.8,46.77,4,0
3,1998,15,12,4,0,0,0,27*,186,23.25,88.15,5,0
4,1999,27,23,0,0,1,5,50,395,17.17,77.91,17,0
5,2000,12,8,1,0,0,0,46,107,15.29,82.31,10,0
6,2001,3,2,0,0,0,0,8,13,6.5,81.25,4,0
7,2002,22,18,2,0,1,1,64,231,14.44,78.57,11,0
8,2003,3,2,0,0,1,0,89,122,61.0,89.71,1,0
9,2004,27,20,3,0,2,0,61*,315,18.53,68.33,13,0
10,2005,13,9,4,0,0,0,44*,132,26.4,66.33,2,0
11,2007,1,1,0,0,0,0,1,1,1.0,16.67,2,0
12,Overall (12),147,111,17,0,5,8,89,1627,17.31,72.99,79,0
