,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,11,11,0,1,1,0,105,295,26.82,71.26,3,0
1,2006,26,24,0,5,4,2,120,1062,44.25,78.72,4,0
2,2007,28,27,0,0,4,1,73,638,23.63,65.37,4,0
3,2008,9,8,1,0,0,1,40,138,19.71,49.64,1,0
4,2009,13,13,0,1,4,3,118,523,40.23,82.36,3,0
5,2010,22,22,3,1,5,3,118*,707,37.21,73.8,4,0
6,2011,22,21,3,4,2,1,133,826,45.89,75.71,3,0
7,2012,28,26,1,0,8,2,71,752,30.08,75.73,9,0
8,2013,12,11,1,1,0,1,174*,287,28.7,74.93,2,0
9,2014,5,5,0,0,0,0,28,111,22.2,63.43,0,0
10,2015,4,4,0,0,0,0,28,68,17.0,76.4,0,0
11,2016,13,10,3,0,2,1,57*,214,30.57,76.16,1,0
12,2017,25,25,4,2,6,1,119,1011,48.14,91.66,7,0
13,2018,14,13,1,0,1,1,56,304,25.33,75.25,8,0
14,2019,3,3,0,0,0,0,9,15,5.0,60.0,1,0
15,Overall (15),235,223,17,15,37,17,174*,6951,33.74,75.93,50,0
