,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1991,5,3,1,0,0,0,40,93,46.5,62.42,0,0
1,1992,5,4,0,0,0,0,24,29,7.25,50.88,0,0
2,1993,18,18,2,1,5,0,100*,684,42.75,68.06,4,0
3,1994,25,24,10,0,5,1,82*,716,51.14,80.54,4,0
4,1995,9,8,1,0,1,1,51*,219,31.29,77.11,2,0
5,1996,14,13,4,1,0,1,106,262,29.11,75.5,2,0
6,1997,7,6,1,0,2,0,65,133,26.6,65.2,0,0
7,1998,3,3,0,0,0,0,39,89,29.67,83.18,0,0
8,1999,9,9,1,0,0,0,26,80,10.0,51.61,2,0
9,2000,9,9,1,0,1,1,60,172,21.5,69.92,1,0
10,Overall (10),104,97,21,2,14,4,106,2477,32.59,71.94,15,0
