,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,1,1,0,0,0,0,1,1,1.0,50.0,0,0
1,2000,2,1,0,0,0,0,19,19,19.0,79.17,0,0
2,2001,19,18,3,1,3,2,100,439,29.27,99.55,6,0
3,2002,30,30,3,3,5,3,126,1130,41.85,105.02,9,0
4,2003,27,27,0,2,3,2,130,871,32.26,85.31,12,0
5,2004,27,26,0,0,5,3,90,671,25.81,91.17,11,0
6,2005,33,33,1,1,3,0,108,1017,31.78,107.28,19,0
7,2006,24,23,0,0,5,1,97,608,26.43,85.75,11,0
8,2007,15,14,0,1,1,0,114,475,33.93,107.22,3,0
9,2008,18,18,0,1,8,0,119,893,49.61,120.03,5,0
10,2009,20,19,1,3,2,0,146,810,45.0,136.59,5,0
11,2010,12,12,1,1,1,0,110,446,40.55,108.78,3,0
12,2011,12,12,0,2,1,2,219,645,53.75,123.09,3,0
13,2012,10,10,0,0,1,1,96,217,21.7,100.46,4,0
14,2013,1,1,0,0,0,0,31,31,31.0,72.09,2,0
15,Overall (15),251,245,9,15,38,14,219,8273,35.06,104.33,93,0
