,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,5,5,0,0,1,1,58,84,16.8,43.52,2,0
1,2004,18,17,0,0,1,4,57,186,10.94,45.37,4,0
2,2005,4,4,0,0,0,0,21,30,7.5,55.56,1,0
3,2006,15,15,1,1,3,1,116,500,35.71,67.75,8,0
4,2007,16,16,1,0,4,1,96,545,36.33,69.16,7,0
5,2008,10,10,0,0,1,0,59,159,15.9,62.35,1,0
6,2009,11,11,0,0,1,2,77,173,15.73,51.64,3,0
7,2010,6,6,0,0,1,2,95,119,19.83,49.38,1,0
8,2011,13,13,0,0,5,1,96,478,36.77,76.85,7,0
9,2013,13,13,1,1,3,1,103*,432,36.0,69.79,5,0
10,2014,8,8,0,0,0,1,37,106,13.25,74.65,2,0
11,2015,5,5,1,0,0,0,28*,86,21.5,54.43,1,0
12,2016,3,3,0,0,1,0,53,96,32.0,59.63,0,0
13,Overall (13),127,126,4,2,21,14,116,2994,24.54,63.49,42,0
