,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,12,3,2,0,0,0,4*,9,9.0,50.0,0,0
1,1990,19,7,4,0,0,2,20*,31,10.33,63.27,3,0
2,1991,8,5,2,0,0,1,12*,38,12.67,102.7,1,0
3,1992,16,7,2,0,0,1,17,47,9.4,51.09,1,0
4,1993,23,11,4,0,0,2,37,126,18.0,97.67,3,0
5,1994,24,11,2,0,0,1,13,41,4.56,50.62,2,0
6,1995,10,8,1,0,0,2,14,43,6.14,69.35,0,0
7,1996,35,19,9,0,0,3,28,92,9.2,61.74,5,0
8,1997,16,10,4,0,0,0,10,44,7.33,67.69,3,0
9,1998,9,4,1,0,0,0,33,67,22.33,77.91,1,0
10,1999,3,1,0,0,0,0,11,11,11.0,55.0,1,0
11,2000,24,19,5,0,0,2,37,190,13.57,61.09,3,0
12,2001,21,13,5,0,0,1,22*,116,14.5,76.32,1,0
13,2002,36,17,4,0,0,0,23,97,7.46,56.73,8,0
14,2003,6,4,0,0,0,0,8,17,4.25,73.91,3,0
15,Overall (15),262,139,45,0,0,15,37,969,10.31,67.06,35,0
