,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1984,1,0,0,0,0,0,0,0,,,0,0
1,1985,14,5,2,0,0,1,9,11,3.67,61.11,2,0
2,1986,17,9,1,0,0,0,24,68,8.5,93.15,3,0
3,1987,24,18,3,0,0,2,48*,200,13.33,113.64,3,0
4,1988,12,11,2,0,0,1,18,70,7.78,73.68,5,0
5,1989,18,16,3,0,0,3,37,145,11.15,105.07,4,0
6,1990,13,11,3,0,1,0,86,282,35.25,105.62,2,0
7,1991,8,8,0,0,0,2,19,66,8.25,89.19,2,0
8,1992,27,24,6,0,0,1,36,274,15.22,83.28,6,0
9,1993,26,22,5,0,0,4,39*,287,16.88,97.95,3,0
10,1994,21,13,1,0,0,3,33,150,12.5,63.83,3,0
11,1995,12,11,2,0,1,1,50,193,21.44,83.91,5,0
12,1996,26,21,4,0,2,2,66*,338,19.88,104.64,12,0
13,1997,19,17,2,0,0,1,33,146,9.73,64.04,9,0
14,1998,16,14,2,0,1,0,57,278,23.17,97.89,3,0
15,1999,27,21,3,0,1,1,79,360,20.0,100.28,16,0
16,2000,30,23,4,0,0,2,42*,388,20.42,67.01,5,0
17,2001,12,10,3,0,0,1,28*,103,14.71,82.4,2,0
18,2002,27,21,7,0,0,3,49*,287,20.5,91.11,3,0
19,2003,6,5,2,0,0,0,33,71,23.67,102.9,0,0
20,Overall (20),356,280,55,0,6,28,86,3717,16.52,88.29,88,0
