,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1973,1,1,0,0,0,0,21,21,21.0,60.0,3,0
1,1974,2,0,0,0,0,0,0,0,,,2,2
2,1975,3,2,1,0,0,0,2,3,3.0,15.79,6,0
3,1976,1,1,1,0,0,0,2*,2,,200.0,1,0
4,1977,3,2,1,0,0,0,1*,2,2.0,28.57,3,0
5,1978,6,3,1,0,0,0,19,31,15.5,46.27,4,0
6,1979,4,2,0,0,0,0,17,26,13.0,57.78,6,1
7,1980,1,0,0,0,0,0,0,0,,,1,0
8,1981,1,1,0,0,0,0,4,4,4.0,100.0,2,0
9,1982,11,3,2,0,0,0,9*,18,18.0,64.29,8,0
10,1983,10,6,4,0,0,0,34,81,40.5,46.29,8,3
11,1984,8,5,3,0,0,0,13,33,16.5,66.0,8,4
12,Overall (12),51,26,13,0,0,0,34,221,17.0,51.28,52,10
