,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1973,1,1,0,0,0,0,4,4,4.0,23.53,0,0
1,1974,2,0,0,0,0,0,0,0,,,1,0
2,1975,3,3,0,0,1,0,58,91,30.33,75.83,2,0
3,1976,1,1,0,0,0,0,8,8,8.0,50.0,0,0
4,1977,3,3,0,0,0,1,43,79,26.33,83.16,1,0
5,1978,4,3,0,0,0,2,44,44,14.67,67.69,3,0
6,1979,2,2,0,0,0,0,21,39,19.5,105.41,1,0
7,1980,3,3,2,0,0,0,22*,46,46.0,69.7,0,0
8,1981,6,6,2,0,0,0,17,47,11.75,58.02,5,0
9,1982,12,9,5,0,1,0,60,196,49.0,76.86,4,0
10,1983,6,5,0,0,0,2,17,41,8.2,53.25,3,0
11,1984,5,4,0,0,0,0,46,109,27.25,70.32,1,0
12,1985,6,5,1,0,0,1,30,78,19.5,42.39,2,0
13,Overall (13),54,45,10,0,2,6,60,782,22.34,66.95,23,0
