,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,2,2,0,0,0,0,48,59,29.5,69.41,0,0
1,2007,18,18,2,2,2,2,112*,555,34.69,59.49,6,0
2,2008,9,9,0,0,0,0,41,122,13.56,57.82,9,0
3,2009,8,8,1,2,2,0,104*,414,59.14,80.08,5,0
4,2010,7,7,0,1,0,0,108,221,31.57,78.65,2,0
5,2011,12,12,0,0,4,1,75,355,29.58,67.36,5,0
6,2012,4,4,0,0,0,1,14,26,6.5,48.15,3,0
7,2013,7,7,0,1,2,0,112,308,44.0,72.13,5,0
8,2014,2,2,0,0,0,0,37,62,31.0,51.24,0,0
9,2015,15,14,0,1,1,1,107,338,24.14,61.45,7,0
10,2016,9,9,0,0,1,1,73,168,18.67,62.22,4,0
11,2017,16,15,0,2,2,0,119,644,42.93,81.21,7,0
12,2018,13,13,0,2,1,3,139,450,34.62,76.66,4,0
13,2019,11,10,0,0,2,0,94,240,24.0,69.16,5,0
14,Overall (14),133,130,3,11,17,9,139,3962,31.2,69.47,62,0
