,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2000,13,12,0,0,1,0,84,260,21.67,91.23,9,0
1,2001,15,12,2,0,1,2,98*,238,23.8,76.28,5,0
2,2002,26,21,3,0,7,1,80*,659,36.61,96.06,7,0
3,2003,26,25,6,1,3,2,102*,600,31.58,76.73,5,0
4,2004,31,28,0,1,5,1,139,841,30.04,90.72,15,0
5,2005,26,25,5,3,3,0,120,839,41.95,80.44,7,0
6,2006,22,21,5,2,5,2,107*,849,53.06,88.44,5,0
7,2007,36,33,5,1,9,1,121,1287,45.96,89.5,9,0
8,2008,27,27,4,2,3,2,138*,893,38.83,100.22,5,0
9,2009,23,21,1,2,5,1,131,783,39.15,95.96,3,0
10,2010,15,14,3,0,2,1,74,349,31.73,70.08,8,0
11,2011,14,13,4,1,5,1,113,453,50.33,81.92,6,0
12,2012,1,1,0,0,0,0,2,2,2.0,66.67,0,0
13,2013,18,15,1,0,2,4,61,276,19.71,78.41,9,0
14,2017,11,10,1,1,1,0,150,372,41.33,98.67,1,0
15,Overall (15),304,278,40,14,52,18,150,8701,36.56,87.69,94,0
