,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1974,2,2,1,0,1,0,57*,88,88.0,78.57,0,0
1,1975,3,3,0,0,1,0,97,136,45.33,87.74,3,0
2,1976,1,1,0,0,0,0,23,23,23.0,63.89,1,0
3,1977,1,1,0,0,0,0,10,10,10.0,58.82,0,0
4,1978,3,3,0,0,0,0,48,91,30.33,89.22,1,0
5,1979,4,4,0,0,1,0,93,148,37.0,66.07,2,0
6,1980,2,2,1,0,1,0,95*,137,137.0,88.96,0,0
7,1981,5,5,0,1,0,0,108,229,45.8,67.75,0,0
8,1982,14,14,1,4,2,0,123,677,52.08,100.59,3,0
9,1983,10,10,2,2,2,2,113,494,61.75,85.76,2,0
10,1984,9,8,1,0,3,0,73,341,48.71,92.41,3,0
11,1985,8,7,0,0,2,0,61,198,28.29,71.48,1,0
12,Overall (12),62,60,6,7,13,2,123,2572,47.63,84.8,16,0
