,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2000,13,6,4,0,0,0,32*,57,28.5,114.0,4,0
1,2001,16,10,5,0,0,1,29,84,16.8,77.06,3,0
2,2002,22,9,1,0,0,2,14,44,5.5,53.66,4,0
3,2003,26,15,5,0,0,4,34*,107,10.7,78.1,8,0
4,2004,12,6,3,0,0,2,28*,44,14.67,95.65,1,0
5,2005,14,11,6,0,0,1,27*,112,22.4,109.8,3,0
6,2006,8,5,2,0,0,0,16*,35,11.67,79.55,3,0
7,2007,33,18,8,0,0,1,31*,177,17.7,70.52,2,0
8,2008,10,6,1,0,0,1,12,19,3.8,26.03,4,0
9,2009,13,2,0,0,0,0,17,22,11.0,66.67,3,0
10,2010,10,3,0,0,0,1,16,18,6.0,138.46,2,0
11,2011,14,8,0,0,0,2,24,62,7.75,50.41,5,0
12,2012,9,2,0,0,0,0,9,11,5.5,73.33,1,0
13,Overall (13),200,101,35,0,0,15,34*,792,12.0,73.47,43,0
